packets,dequeue
13, 43
23, 42
25, 42
32, 42
38, 42
39, 42
42, 43
39, 42
40, 42
37, 42
43, 42
41, 42
42, 42
48, 43
40, 42
37, 42
39, 42
36, 42
39, 42
44, 42
47, 43
46, 42
41, 42
39, 42
40, 42
34, 42
37, 42
36, 43
37, 42
40, 42
44, 42
35, 42
35, 42
38, 42
42, 43
41, 42
43, 42
49, 42
45, 42
45, 42
42, 42
48, 43
46, 42
47, 42
46, 42
42, 42
45, 42
45, 43
49, 42
42, 42
44, 42
37, 42
40, 42
37, 42
40, 43
45, 42
45, 42
44, 42
46, 42
43, 42
46, 42
41, 43
41, 42
39, 42
32, 42
36, 42
34, 42
35, 42
37, 43
33, 42
37, 42
46, 42
49, 42
44, 42
45, 42
48, 43
49, 42
47, 42
44, 42
50, 42
42, 42
44, 42
43, 43
44, 42
48, 42
47, 42
42, 42
46, 42
45, 43
44, 42
39, 42
40, 42
41, 42
42, 42
45, 42
47, 43
51, 42
55, 42
53, 42
54, 42
48, 42
47, 42
53, 43
44, 42
45, 42
47, 42
45, 42
50, 42
46, 42
42, 43
59, 42
50, 42
44, 42
44, 42
48, 42
47, 42
53, 43
55, 42
52, 42
46, 42
45, 42
52, 42
49, 42
38, 43
39, 42
42, 42
41, 42
39, 42
39, 42
37, 42
33, 43
41, 42
40, 42
44, 42
33, 42
35, 42
38, 43
45, 42
48, 42
42, 42
40, 42
41, 42
39, 42
36, 43
37, 42
32, 42
35, 42
35, 42
37, 42
40, 42
37, 43
42, 42
38, 42
41, 42
43, 42
40, 42
39, 42
42, 43
42, 42
43, 42
42, 42
45, 42
46, 42
41, 42
50, 43
42, 42
44, 42
46, 42
47, 42
42, 42
46, 42
46, 43
45, 42
47, 42
45, 42
42, 42
42, 42
41, 43
43, 42
43, 42
43, 42
51, 42
42, 42
45, 42
46, 43
46, 42
48, 42
45, 42
44, 42
47, 42
46, 42
43, 43
47, 42
49, 42
42, 42
45, 42
46, 42
39, 42
35, 43
37, 42
44, 42
46, 42
39, 42
41, 42
40, 42
38, 43
41, 42
43, 42
45, 42
49, 42
52, 42
54, 42
50, 43
48, 42
44, 42
48, 42
48, 42
40, 42
41, 43
40, 42
37, 42
39, 42
44, 42
43, 42
41, 42
41, 43
46, 42
46, 42
44, 42
43, 42
41, 42
39, 42
36, 43
37, 42
39, 42
41, 42
37, 42
38, 42
38, 42
35, 43
40, 42
42, 42
42, 42
45, 42
49, 42
41, 42
46, 43
43, 42
45, 42
43, 42
44, 42
39, 42
42, 42
43, 43
40, 42
44, 42
43, 42
42, 42
43, 42
47, 42
49, 43
49, 42
54, 42
49, 42
38, 42
39, 42
35, 43
42, 42
51, 42
43, 42
40, 42
45, 42
47, 42
48, 43
45, 42
43, 42
46, 42
42, 42
43, 42
45, 42
44, 43
42, 42
46, 42
44, 42
43, 42
41, 42
36, 42
33, 43
36, 42
38, 42
43, 42
44, 42
44, 42
40, 42
40, 43
40, 42
38, 42
39, 42
40, 42
34, 42
42, 42
39, 43
39, 42
39, 42
40, 42
40, 42
43, 42
41, 43
40, 42
45, 42
41, 42
36, 42
32, 42
39, 42
46, 43
49, 42
45, 42
46, 42
48, 42
33, 42
38, 42
43, 43
45, 42
43, 42
45, 42
40, 42
43, 42
44, 42
44, 43
40, 42
37, 42
41, 42
39, 42
37, 42
44, 42
49, 43
43, 42
45, 42
39, 42
45, 42
46, 42
48, 42
42, 43
42, 42
41, 42
41, 42
47, 42
52, 42
50, 43
49, 42
46, 42
47, 42
47, 42
50, 42
42, 42
45, 43
41, 42
47, 42
43, 42
41, 42
48, 42
46, 42
47, 43
50, 42
55, 42
48, 42
50, 42
42, 42
42, 42
38, 43
40, 42
40, 42
41, 42
39, 42
43, 42
49, 42
43, 43
47, 42
45, 42
42, 42
42, 42
41, 42
39, 42
42, 43
37, 42
41, 42
36, 42
31, 42
39, 42
44, 42
50, 43
51, 42
53, 42
51, 42
49, 42
42, 42
37, 43
35, 42
41, 42
36, 42
40, 42
38, 42
43, 42
40, 43
38, 42
42, 42
41, 42
42, 42
40, 42
39, 42
38, 43
42, 42
43, 42
44, 42
51, 42
47, 42
44, 42
46, 43
44, 42
37, 42
35, 42
36, 42
33, 42
37, 42
39, 43
41, 42
39, 42
38, 42
38, 42
37, 42
42, 42
42, 43
43, 42
47, 42
42, 42
39, 42
39, 42
48, 43
44, 42
52, 42
51, 42
49, 42
48, 42
43, 42
52, 43
51, 42
43, 42
35, 42
39, 42
34, 42
36, 42
40, 43
39, 42
40, 42
40, 42
51, 42
49, 42
48, 42
42, 43
40, 42
44, 42
45, 42
49, 42
44, 42
39, 42
42, 43
51, 42
48, 42
47, 42
44, 42
51, 42
57, 42
41, 43
46, 42
46, 42
42, 42
41, 42
43, 42
44, 43
43, 42
44, 42
43, 42
47, 42
50, 42
49, 42
45, 43
41, 42
35, 42
44, 42
43, 42
51, 42
54, 42
49, 43
41, 42
36, 42
36, 42
39, 42
50, 42
50, 42
50, 43
55, 42
51, 42
44, 42
48, 42
43, 42
41, 42
38, 43
46, 42
48, 42
39, 42
44, 42
45, 42
41, 42
45, 43
44, 42
38, 42
39, 42
38, 42
41, 42
30, 42
34, 43
40, 42
35, 42
40, 42
39, 42
42, 42
44, 43
38, 42
40, 42
52, 42
50, 42
50, 42
48, 42
46, 43
44, 42
43, 42
39, 42
45, 42
45, 42
41, 42
44, 43
43, 42
43, 42
42, 42
45, 42
47, 42
45, 42
46, 43
44, 42
44, 42
38, 42
42, 42
46, 42
47, 42
43, 43
42, 42
45, 42
44, 42
41, 42
44, 42
47, 42
42, 43
42, 42
40, 42
42, 42
40, 42
40, 42
44, 43
39, 42
37, 42
31, 42
44, 42
45, 42
38, 42
37, 43
35, 42
40, 42
42, 42
41, 42
45, 42
48, 42
39, 43
37, 42